address,buurt,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Majellapark 00030,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1950,114,115,301000.0,302000.0,385000.0,414000.0,433000.0,468000.0,521000.0,566000.0,634000.0,659000
Potgieterstraat 00030,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,110,281000.0,282000.0,336000.0,334000.0,421000.0,463000.0,509000.0,553000.0,612000.0,562000
Potgieterstraat 30-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,110,206000.0,207000.0,261000.0,330000.0,381000.0,462000.0,440000.0,409000.0,480000.0,457000
Vosmaerstraat 00030,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,77,112,253000.0,254000.0,298000.0,315000.0,339000.0,376000.0,460000.0,517000.0,578000.0,538000
Bilderdijkstraat 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,0,57,141000.0,141000.0,183000.0,184000.0,202000.0,245000.0,261000.0,290000.0,353000.0,342000
Bilderdijkstraat 31-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,0,88,187000.0,188000.0,241000.0,269000.0,300000.0,333000.0,335000.0,406000.0,442000.0,399000
Cremerplein 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1954,0,36,112000.0,111000.0,114000.0,126000.0,145000.0,159000.0,175000.0,201000.0,212000.0,222000
Hasebroekstraat 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1936,81,83,204000.0,204000.0,244000.0,323000.0,334000.0,512000.0,553000.0,585000.0,682000.0,647000
Heijermansstraat 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,90,113,250000.0,251000.0,340000.0,356000.0,393000.0,443000.0,488000.0,552000.0,664000.0,598000
Jaffastraat 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1953,0,95,285000.0,286000.0,368000.0,373000.0,412000.0,446000.0,488000.0,416000.0,479000.0,521000
Kneppelhoutstraat 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,82,103,247000.0,247000.0,336000.0,353000.0,390000.0,404000.0,446000.0,506000.0,597000.0,552000
Majellapark 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1950,114,115,301000.0,302000.0,381000.0,410000.0,428000.0,463000.0,516000.0,561000.0,629000.0,654000
Potgieterstraat 00031,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,90,89,182000.0,182000.0,226000.0,290000.0,336000.0,363000.0,404000.0,423000.0,691000.0,698000
Bilderdijkstraat 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,81,142000.0,142000.0,200000.0,235000.0,254000.0,312000.0,334000.0,373000.0,370000.0,414000
Bilderdijkstraat 32-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,102,178000.0,179000.0,231000.0,267000.0,305000.0,396000.0,338000.0,431000.0,497000.0,455000
Cremerplein 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1954,0,37,112000.0,111000.0,114000.0,126000.0,145000.0,159000.0,175000.0,201000.0,215000.0,225000
Cremerstraat 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,84,87,197000.0,197000.0,226000.0,248000.0,321000.0,331000.0,361000.0,392000.0,449000.0,493000
Hasebroekstraat 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1935,128,129,237000.0,237000.0,294000.0,330000.0,338000.0,421000.0,523000.0,650000.0,721000.0,697000
Jaffastraat 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,66,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,244000.0,245000.0,306000.0,306000
Majellapark 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1950,114,116,301000.0,302000.0,400000.0,445000.0,463000.0,463000.0,516000.0,562000.0,630000.0,656000
Potgieterstraat 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,110,281000.0,282000.0,369000.0,373000.0,446000.0,489000.0,532000.0,578000.0,668000.0,640000
Potgieterstraat 32-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1919,0,110,206000.0,207000.0,265000.0,351000.0,399000.0,439000.0,439000.0,427000.0,505000.0,481000
Vosmaerstraat 00032,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,73,175000.0,176000.0,204000.0,209000.0,252000.0,267000.0,287000.0,311000.0,378000.0,370000
