address,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Jutfaseweg 00054,1920,0.0,70,164000.0,165000.0,192000.0,209000.0,255000.0,281000.0,310000.0,339000.0,407000.0,388000.0
Maasstraat 00054,1999,0.0,78,173000.0,174000.0,182000.0,205000.0,239000.0,259000.0,278000.0,289000.0,375000.0,356000.0
Merwedestraat 00054,1925,120.0,64,175000.0,182000.0,187000.0,229000.0,277000.0,330000.0,352000.0,471000.0,478000.0,534000.0
Mijdrechtstraat 00054,1935,86.0,75,237000.0,237000.0,300000.0,327000.0,335000.0,350000.0,366000.0,425000.0,529000.0,479000.0
Reitdiepstraat 00054,1955,0.0,76,58000.0,58000.0,60000.0,64000.0,64000.0,71000.0,71000.0,79000.0,79000.0,79000.0
Reitdiepstraat 054-1,1955,0.0,76,58000.0,58000.0,60000.0,64000.0,64000.0,71000.0,71000.0,79000.0,79000.0,79000.0
Rijnlaan 54-BS,1928,0.0,83,177000.0,178000.0,221000.0,219000.0,258000.0,280000.0,366000.0,400000.0,535000.0,501000.0
Roerstraat 00054,1992,0.0,79,168000.0,167000.0,173000.0,200000.0,231000.0,261000.0,285000.0,323000.0,379000.0,369000.0
Scheldestraat 00054,1978,0.0,46,131000.0,132000.0,133000.0,141000.0,163000.0,175000.0,191000.0,212000.0,274000.0,265000.0
Schipbeekstraat 00054,1919,0.0,88,191000.0,191000.0,229000.0,237000.0,262000.0,302000.0,342000.0,384000.0,505000.0,470000.0
Socrateslaan 00054,1939,0.0,83,200000.0,198000.0,210000.0,261000.0,282000.0,325000.0,334000.0,359000.0,477000.0,465000.0
Spaarnestraat 00054,1919,114.0,88,192000.0,192000.0,222000.0,236000.0,261000.0,301000.0,341000.0,384000.0,504000.0,469000.0
Vlisthof 00054,1992,0.0,69,169000.0,167000.0,183000.0,191000.0,226000.0,253000.0,277000.0,300000.0,385000.0,380000.0
Volkerakstraat 00054,1933,72.0,84,207000.0,207000.0,243000.0,284000.0,325000.0,338000.0,368000.0,379000.0,444000.0,483000.0
Westravenstraat 00054,1996,138.0,117,246000.0,246000.0,271000.0,286000.0,395000.0,445000.0,446000.0,508000.0,562000.0,565000.0
