regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Zuilen-Noord,Utrecht,BU03440244,3765.0,5259.0,36.0,2176.259180379908,680.1134566935651,42.1,34.900000000000006,19.8,19.012345679012345,3555.0,1,1455.0,401.0,393.0,401,412,96.5,2.04,2.74
Taag- en Rubicondreef en omgeving,Utrecht,BU03440311,4260.0,8576.0,36.0,1866.0228913903347,257.6543209876543,34.499999999999986,28.1,9.5,29.135802469135804,3561.0,1,4447.0,313.0,301.0,301,298,116.55,0.0,-1.0
Wolga- en Donaudreef en omgeving,Utrecht,BU03440312,4900.0,9507.0,81.0,1858.7061451778688,251.9666736332329,32.50000000000001,24.7,10.6,28.76543209876544,3561.0,1,2988.0,318.0,306.0,307,307,113.99,0.33,0.0
Zamenhofdreef en omgeving,Utrecht,BU03440321,3990.0,6186.0,22.0,2188.4996877860103,481.2690819982092,36.6,33.9,6.800000000000001,29.25925925925926,3562.0,1,4444.0,267.0,255.0,261,263,83.45,2.35,0.77
Neckardreef en omgeving,Utrecht,BU03440322,4445.0,8297.0,79.0,1545.0617283950614,285.1449641615204,26.6,21.2,4.0,39.13580246913581,3562.0,1,3342.0,280.0,269.0,268,265,102.26,-0.37,-1.12
Vechtzoom-zuid,Utrecht,BU03440331,5300.0,7946.0,63.0,1479.8665023395013,258.6645077605913,33.9,26.6,9.700000000000005,49.25925925925926,3563.0,1,4170.0,306.0,302.0,302,301,127.07,0.0,-0.33
"Vechtzoom-noord, Klopvaart",Utrecht,BU03440332,3295.0,6093.0,61.0,1945.0617283950617,387.6441945379031,30.40000000000001,28.000000000000007,10.8,19.012345679012345,3563.0,3,2674.0,327.0,318.0,316,316,96.3,-0.63,0.0
Zambesidreef en omgeving,Utrecht,BU03440341,4240.0,9947.0,74.0,1937.9628963507969,392.07066029187945,32.5,25.000000000000004,7.0,29.012345679012345,3564.0,1,3547.0,286.0,278.0,279,279,107.46,0.36,0.0
Tigrisdreef en omgeving,Utrecht,BU03440342,4470.0,8588.0,78.0,1902.8792761866232,527.0603106637003,30.399999999999995,23.40000000000001,6.328284154610326,28.88888888888889,3564.0,1,2372.0,293.0,290.0,295,302,123.08,1.72,2.37
Poldergebied Overvecht,Utrecht,BU03440343,260.0,129.0,0.0,4264.868216546435,1654.9598224837027,66.5,52.500000000000014,49.40724641228225,-26.594412076441376,3566.0,1,1715.0,830.0,846.0,887,887,62.07,4.85,0.0
Vogelenbuurt,Utrecht,BU03440411,4060.0,19710.0,10.0,2114.6913580246915,925.0507432423252,47.900000000000006,41.49999999999999,23.4,39.38271604938272,3514.0,1,6532.999999999999,529.0,534.0,528,516,98.51,-1.12,-2.27
Lauwerecht,Utrecht,BU03440412,3285.0,14122.0,17.0,1621.111111111111,555.699578053506,44.7,39.40000000000002,16.489420870598874,27.188683893122427,3515.0,4,5774.0,379.0,398.0,392,385,76.11,-1.51,-1.79
Staatsliedenbuurt,Utrecht,BU03440413,1420.0,11351.0,76.0,918.673682484094,309.18828308243314,40.69999999999999,32.0,16.0,9.629629629629632,3515.0,1,5713.0,430.0,418.0,414,421,104.9,-0.96,1.69
Tuinwijk-West,Utrecht,BU03440414,2315.0,13696.0,23.0,1884.320987654321,777.879099753403,52.5,43.3,30.500000000000007,19.382716049382715,3515.0,1,5773.0,501.0,497.0,504,497,102.86,1.41,-1.39
Tuinwijk-Oost,Utrecht,BU03440415,2845.0,8359.0,14.0,2093.827160493828,916.706105525158,52.600000000000016,44.6,33.04086026828499,8.886309344185275,3514.0,1,5913.0,561.0,559.0,555,553,97.53,-0.72,-0.36
Tuindorp en Van Lieflandlaan-West,Utrecht,BU03440421,6860.0,9386.0,17.0,2571.0471098940893,886.5761860958179,51.4,43.6,33.1,49.38271604938272,3571.0,1,4305.0,699.0,659.0,654,631,73.42,-0.76,-3.52
Tuindorp-Oost,Utrecht,BU03440422,3435.0,6490.0,7.000000000000002,2022.3456790123453,593.3676091066061,52.000000000000014,43.29999999999999,29.133490000320336,29.62962962962963,3571.0,1,3435.0,456.0,434.0,433,429,96.38,-0.23,-0.92
