regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Blokhuiswetering,Bunschoten,BU03130006,3665.0,6558.0,16.0,2997.777777777778,935.8300853480256,38.400000000000006,31.000000000000007,22.700000000000003,9.1358024691358,3752.0,1,1038.0,408.0,417.0,438,460,70.2,5.04,5.02
De Haar,Bunschoten,BU03130007,225.0,28.0,0.0,4561.378471648427,1851.5301919283336,44.42771696025229,37.1,22.700000000000003,0.0,3751.0,1,282.0,691.0,741.0,792,796,51.53,6.88,0.51
Verspreide huizen,Bunschoten,BU03130008,225.0,16.0,0.0,4259.387037373298,1770.8611064018746,46.95666129322235,40.1902927828487,22.700000000000003,-12.504341285149897,3751.0,5,553.0,678.0,717.0,735,747,258.5,2.51,1.63
Koenraadswetering,Bunschoten,BU03130009,1650.0,7525.0,26.0,2942.5925925925926,859.72263222014,39.100000000000016,31.6,31.2,9.753086419753089,3751.0,1,1367.0,431.0,454.0,472,495,73.95,3.96,4.87
Rengerswetering,Bunschoten,BU03130011,2075.0,2839.0,24.0,2798.7080869282763,519.3380605181285,42.900000000000006,27.9,31.700000000000003,22.806998765440344,3751.0,1,906.0,446.0,455.0,474,498,103.12,4.18,5.06
Buren-Oude Kern,Buren,BU02140000,410.0,3326.0,12.0,2781.851851851852,1272.146929876179,51.8,48.3,31.53112613257977,-11.520984703606633,4116.0,1,390.0,466.0,493.0,527,552,46.73,6.9,4.74
Buren Appelenboomgaard,Buren,BU02140001,850.0,1879.0,30.0,2514.074074074074,1039.2636213389487,34.899999999999984,30.600000000000005,16.499999999999993,-6.617301402236766,4116.0,1,266.9999999999999,334.0,359.0,376,399,58.85,4.74,6.12
Buren Tielseweg,Buren,BU02140002,805.0,1899.0,27.0,3035.029320698224,1124.8571176108376,34.50000000000001,28.7,22.35563962471696,-3.918775193928816,4116.0,1,318.0,336.0,352.0,373,395,53.04,5.97,5.9
Asch,Buren,BU02140003,310.0,360.0,9.0,3539.920781594128,1573.3209267530117,43.81640665203757,37.25700143209691,29.240469646114068,-16.609474829052576,4115.0,1,65.0,489.0,521.0,553,582,52.34,6.14,5.24
Erichem,Buren,BU02140004,405.0,740.0,10.0,3776.696583729181,1525.657742854548,41.500000000000014,36.40000000000002,31.234208612645524,-7.321507789806237,4117.0,1,112.0,470.0,504.0,535,563,54.6,6.15,5.23
Verspreide huizen Erichem,Buren,BU02140007,125.0,28.0,0.0,3924.512176874976,1676.138891677074,81.2,76.39999999999998,53.76520574503861,0.0,4117.0,2,71.0,532.0,546.0,557,580,114.96,2.01,4.13
Verspreide huizen Buren,Buren,BU02140009,535.0,63.0,18.0,3688.898381808523,1489.6712530009552,55.49999999999999,44.7,38.05436258314002,-16.43149238167044,4116.0,1,249.0,492.0,524.0,557,592,68.49,6.3,6.28
Beusichem,Buren,BU02140100,2720.0,2990.0,19.0,2891.358024691358,1175.8535152108425,42.80000000000001,36.3,27.860476631611007,19.382716049382715,4112.0,1,432.0,422.0,447.0,465,486,60.79,4.03,4.52
Zoelmond,Buren,BU02140101,555.0,1875.0,11.0,3191.358024691358,1381.6176410063538,50.0,41.40000000000002,31.44369649818672,-0.2469135802469146,4111.0,1,106.0,414.0,441.0,463,489,55.28,4.99,5.62
